employee_id,name,sector,job_level,experience_years,basic_salary_idr,allowance_idr,overtime_idr,total_compensation_idr,location,source,created_at
EMP0001,Fajar Wibowo,Perdagangan,Supervisor,8,5702775,1035042,184077,6921894,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0002,Yuli Sari,Konstruksi,Staff,16,5948180,416981,13696,6378857,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0003,Eka Pratama,Jasa,Staff,16,5063593,787955,86269,5937817,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0004,Rudi Susanto,Perdagangan,Operator,19,4575947,322401,5324,4903672,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0005,Desi Wibowo,Manufaktur,Supervisor,15,6423213,699080,224799,7347092,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0006,Eka Pratama,Manufaktur,Staff,12,3077603,571276,85743,3734622,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0007,Agus Pratama,Manufaktur,Staff,18,5261874,576077,261867,6099818,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0008,Yuli Kurniawan,Pertanian,Manager,16,7327642,1314245,556619,9198506,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0009,Rudi Lestari,Jasa,Staff,3,2682324,318848,210301,3211473,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0010,Rudi Pratama,Jasa,Staff,11,4160879,515502,109431,4785812,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0011,Lestari Susanto,Manufaktur,Supervisor,8,4059398,249163,41853,4350414,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0012,Ahmad Putra,Konstruksi,Manager,18,11077735,766655,134619,11979009,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0013,Ahmad Nugraha,Pertanian,Manager,11,6758386,522301,186892,7467579,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0014,Rina Mahendra,Manufaktur,Staff,8,3131304,577782,118729,3827815,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0015,Joko Pratama,Manufaktur,Operator,6,2680094,211307,8762,2900163,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0016,Nina Putra,Manufaktur,Staff,13,4235321,319090,94393,4648804,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0017,Dewi Hidayat,Manufaktur,Staff,19,4492573,363674,130920,4987167,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0018,Fajar Hidayat,Perdagangan,Operator,18,3371908,423216,186235,3981359,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0019,Putri Mahendra,Perdagangan,Supervisor,14,4849523,877942,357263,6084728,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0020,Andi Santoso,Manufaktur,Operator,15,3897120,230560,86322,4214002,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0021,Bayu Kurniawan,Jasa,Manager,20,10969549,852094,183717,12005360,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0022,Desi Kurniawan,Manufaktur,Supervisor,4,4697598,495929,182087,5375614,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0023,Nina Mahendra,Manufaktur,Staff,2,2431702,290297,145410,2867409,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0024,Andi Utami,Perdagangan,Staff,11,4210977,233719,85040,4529736,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0025,Wahyu Hidayat,Perdagangan,Staff,19,4622601,585922,196779,5405302,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0026,Siti Lestari,Jasa,Staff,20,5299088,350141,189670,5838899,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0027,Rudi Utami,Manufaktur,Admin,3,2361669,213462,71281,2646412,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0028,Putri Santoso,Perdagangan,Staff,20,4519422,239577,116448,4875447,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0029,Joko Lestari,Perdagangan,Operator,15,3329516,226288,237201,3793005,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0030,Bayu Saputra,Manufaktur,Supervisor,6,3967714,551666,215558,4734938,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0031,Rizky Utami,Jasa,Operator,12,3897146,245668,167454,4310268,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0032,Dewi Nugraha,Manufaktur,Supervisor,20,7457221,1029291,444712,8931224,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0033,Rina Pratama,Manufaktur,Supervisor,9,4324616,400314,125615,4850545,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0034,Wahyu Ananda,Konstruksi,Staff,6,3757325,551904,171567,4480796,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0035,Bagus Nugraha,Konstruksi,Staff,13,3822015,249452,46738,4118205,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0036,Bagus Susanto,Pertanian,Operator,4,2605008,226358,33486,2864852,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0037,Andi Utami,Manufaktur,Staff,2,2760819,209838,198064,3168721,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0038,Fajar Hidayat,Manufaktur,Staff,10,3329942,206573,139727,3676242,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
